x,y
672,301
811,500
959,717
140,368
609,743
95,654
449,736
275,559
730,653
468,986
191,55
662,817
435,485
749,362
859,553
652,373
723,873
960,188
308,869
318,220
73,543
307,493
629,110
9,185
58,270
497,764
297,981
339,719
330,43
811,533
731,752
144,694
16,675
948,249
583,890
417,443
148,906
601,878
322,375
938,231
94,566
590,730
358,167
105,524
642,89
515,77
441,567
77,980
390,481
409,656
727,761
243,18
558,985
400,165
897,848
193,530
300,337
487,800
880,634
470,525
622,635
200,363
895,932
542,91
488,996
641,166
807,73
997,890
514,209
596,329
457,465
888,687
292,79
966,684
276,232
0,562
524,280
301,506
9,584
657,686
346,343
558,474
46,14
986,635
163,749
363,250
499,55
845,79
264,994
422,345
612,200
249,229
456,334
833,360
303,839
31,417
615,785
555,236
265,437
83,278
