x,y
637,571
738,906
390,830
248,965
267,357
907,473
353,166
866,290
463,198
327,578
667,339
679,90
123,918
215,942
177,583
13,971
332,809
585,73
967,889
381,421
337,980
179,33
596,223
763,815
289,796
387,35
61,553
8,464
90,915
933,384
439,807
865,215
0,899
247,450
377,762
186,371
964,294
775,519
809,45
918,75
486,360
285,134
145,979
369,170
999,868
981,719
575,866
115,312
834,921
978,69
991,197
6,123
196,843
287,725
404,569
388,184
293,277
707,611
452,298
120,83
746,94
430,893
396,110
994,860
464,58
404,69
330,196
875,934
283,158
282,180
272,688
341,329
439,534
529,466
760,315
192,558
88,347
557,33
938,362
89,705
636,179
97,528
195,55
587,980
757,628
312,663
985,917
980,583
263,183
957,729
826,348
4,868
32,265
378,443
431,696
615,359
482,569
940,804
322,853
990,138
552,489
398,730
973,885
186,696
640,686
246,472
433,753
960,636
736,156
548,313
590,691
88,433
266,577
522,378
573,353
562,703
232,835
135,70
176,203
988,678
34,544
734,152
335,503
888,346
996,151
314,120
961,676
560,623
259,486
430,828
803,794
325,537
26,317
652,151
895,295
945,667
4,956
715,513
403,414
238,796
863,419
406,283
177,802
748,667
335,752
339,324
772,534
168,905
797,961
98,684
31,937
236,16
295,321
967,203
473,795
154,316
184,695
710,247
350,489
229,468
836,344
855,985
931,988
979,391
761,294
331,197
148,948
61,64
173,973
675,436
218,826
510,439
288,766
775,522
243,672
327,65
914,764
851,457
262,60
49,305
48,841
543,862
607,212
777,978
39,990
974,924
970,160
712,152
670,762
691,513
838,904
316,862
664,364
114,25
736,535
749,830
591,648
375,326
76,561
483,903
986,237
424,161
946,386
420,336
855,93
255,604
375,678
123,777
97,312
99,47
561,462
661,455
435,371
905,936
519,999
720,983
780,506
953,725
302,515
989,293
286,638
680,517
365,188
813,709
605,330
275,952
408,648
760,613
323,414
307,326
863,660
69,400
87,774
121,485
94,114
884,122
363,580
549,474
241,568
786,21
656,741
335,31
693,91
822,69
103,394
485,932
608,155
329,43
313,407
259,984
880,500
368,26
146,215
687,86
448,199
232,300
39,5
352,795
66,579
161,962
794,578
908,418
711,800
777,195
807,48
409,565
102,693
40,886
662,704
393,166
70,154
452,328
188,736
366,653
85,314
729,28
581,665
914,665
280,528
164,552
114,500
646,935
957,85
312,61
114,688
364,733
886,135
540,12
616,495
75,225
29,530
975,150
862,2
709,227
201,398
26,77
426,971
505,82
723,517
817,715
733,286
38,495
591,490
182,675
751,422
187,26
379,63
473,346
300,286
601,893
195,590
929,878
